"Region","Province","x","Province New","Part"
"Sumatera","Aceh",132.532,"DI. ACEH","WEST"
"Bali - Nusa Tenggara","Bali",18263.131,"BALI","EAST"
"Jawa","Banten",5446.123,"PROBANTEN","WEST"
"Sumatera","Bengkulu",0,"BENGKULU","WEST"
"Jawa","DI Yogyakarta",293.888,"DAERAH ISTIMEWA YOGYAKARTA","WEST"
"Jawa","DKI Jakarta",1368469.959,"DKI JAKARTA","WEST"
"Sulawesi","Gorontalo",682.916,"GORONTALO","EAST"
"Sumatera","Jambi",15393.804,"JAMBI","WEST"
"Jawa","Jawa Barat",35.269,"JAWA BARAT","WEST"
"Jawa","Jawa Tengah",42799.274,"JAWA TENGAH","WEST"
"Jawa","Jawa Timur",676155.675,"JAWA TIMUR","WEST"
"Kalimantan","Kalimantan Barat",22586.364,"KALIMANTAN BARAT","WEST"
"Kalimantan","Kalimantan Selatan",113.954,"KALIMANTAN SELATAN","EAST"
"Kalimantan","Kalimantan Tengah",0.337,"KALIMANTAN TENGAH","WEST"
"Kalimantan","Kalimantan Timur",271.158,"KALIMANTAN TIMUR","EAST"
"Sumatera","Kepulauan Bangka Belitung",297474.088,"BANGKA BELITUNG","WEST"
"Sumatera","Kepulauan Riau",24769.301,"RIAU","WEST"
"Sumatera","Lampung",118947.364,"LAMPUNG","WEST"
"Maluku - Papua","Maluku",5632.647,"MALUKU","EAST"
"Maluku - Papua","Maluku Utara",0,"MALUKU UTARA","EAST"
"Bali - Nusa Tenggara","Nusa Tenggara Barat",542.513,"NUSATENGGARA BARAT","EAST"
"Bali - Nusa Tenggara","Nusa Tenggara Timur",0,"NUSA TENGGARA TIMUR","EAST"
"Maluku - Papua","Papua",1107.863,"IRIAN JAYA TENGAH","EAST"
"Maluku - Papua","Papua",1107.863,"IRIAN JAYA TIMUR","EAST"
"Maluku - Papua","Papua Barat",0,"IRIAN JAYA BARAT","EAST"
"Sumatera","Riau",26709.838,"RIAU","WEST"
"Sulawesi","Sulawesi Barat",0,"","EAST"
"Sulawesi","Sulawesi Selatan",1564.342,"SULAWESI SELATAN","EAST"
"Sulawesi","Sulawesi Tengah",43.466,"SULAWESI TENGAH","EAST"
"Sulawesi","Sulawesi Tenggara",413.936,"SULAWESI TENGGARA","EAST"
"Sulawesi","Sulawesi Utara",155.856,"SULAWESI UTARA","EAST"
"Sumatera","Sumatera Barat",2.086,"SUMATERA BARAT","WEST","EAST"
"Sumatera","Sumatera Selatan",185.443,"SUMATERA SELATAN","WEST"
"Sumatera","Sumatera Utara",333674.114,"SUMATERA UTARA","WEST"
