"ID","Province","id"
"1","IRIAN JAYA TIMUR","0"
"2","NUSATENGGARA BARAT","1"
"3","GORONTALO","2"
"4","SULAWESI TENGGARA","3"
"5","DAERAH ISTIMEWA YOGYAKARTA","4"
"6","JAWA TENGAH","5"
"7","PROBANTEN","6"
"8","JAWA TIMUR","7"
"9","MALUKU UTARA","8"
"10","MALUKU","9"
"11","KALIMANTAN SELATAN","10"
"12","KALIMANTAN BARAT","11"
"13","SULAWESI SELATAN","12"
"14","DKI JAKARTA","13"
"15","JAWA BARAT","14"
"16","IRIAN JAYA TENGAH","15"
"17","NUSA TENGGARA TIMUR","16"
"18","BALI","17"
"19","RIAU","18"
"20","SULAWESI TENGAH","19"
"21","KALIMANTAN TIMUR","20"
"22","SULAWESI UTARA","21"
"23","IRIAN JAYA BARAT","22"
"24","SUMATERA UTARA","23"
"25","BANGKA BELITUNG","24"
"26","SUMATERA BARAT","25"
"27","KALIMANTAN TENGAH","26"
"28","SUMATERA SELATAN","27"
"29","JAMBI","28"
"30","LAMPUNG","29"
"31","BENGKULU","30"
"32","DI. ACEH","31"
